TOWNCODE,COUNTYNAME,TOWNNAME,year,month,T2M,T2M_MIN,T2M_MAX,ALLSKY_SFC_SW_DWN,RH2M,TS,WS10M,PS
09007010,連江縣,南竿鄉,2020,2,13.26,8.08,18.76,3.1541,84.49,13.95,6.15,102.11
09007010,連江縣,南竿鄉,2020,3,15.34,11.33,21.19,2.7034,87.66,15.77,5.56,101.51
09007010,連江縣,南竿鄉,2020,4,17.19,12.84,22.05,4.5036,82.25,17.41,5.64,101.58
09007010,連江縣,南竿鄉,2020,5,23.05,19.85,26.57,4.129,91.57,22.72,4.68,100.66
09007010,連江縣,南竿鄉,2020,6,26.66,23.58,28.88,5.1878,92.46,25.98,6.01,100.42
09007010,連江縣,南竿鄉,2020,7,27.65,26.55,29.62,5.4806,91.56,27.11,5.33,100.42
09007010,連江縣,南竿鄉,2020,8,28.15,26.84,30.33,5.3311,89.34,28.03,4.68,100.43
09007010,連江縣,南竿鄉,2020,9,26.42,22.7,30.18,3.6264,81.03,27.34,5.29,100.79
09007010,連江縣,南竿鄉,2020,10,22.64,19.44,26.57,3.8042,78.75,23.5,8.95,101.43
09007010,連江縣,南竿鄉,2020,11,20.03,15.51,23.72,2.9138,82.94,20.62,8.55,101.83
09007010,連江縣,南竿鄉,2020,12,14.34,4.5,17.88,1.8626,82.39,16.67,9.41,102.07
09007010,連江縣,南竿鄉,2021,1,11.68,5.15,16.9,3.1879,78.86,13.09,7.17,102.09
09007010,連江縣,南竿鄉,2021,2,13.88,10.97,17.5,3.3871,85.44,13.88,6.19,101.71
09007010,連江縣,南竿鄉,2021,3,14.82,11.77,20.52,3.3641,88.58,15.02,5.53,101.54
09007010,連江縣,南竿鄉,2021,4,17.97,15.04,22.32,3.93,86.73,17.92,6.0,101.33
09007010,連江縣,南竿鄉,2021,5,23.22,17.29,26.99,3.8556,90.03,22.87,4.67,100.74
09007010,連江縣,南竿鄉,2021,6,26.15,22.2,29.09,4.3538,91.04,25.9,4.98,100.36
09007010,連江縣,南竿鄉,2021,7,27.93,26.48,31.16,5.8898,89.07,27.5,5.47,100.2
09007010,連江縣,南竿鄉,2021,8,27.78,26.67,29.28,4.6642,90.43,27.71,4.83,100.41
09007010,連江縣,南竿鄉,2021,9,28.01,25.71,30.0,5.3844,84.79,28.1,4.55,100.75
09007010,連江縣,南竿鄉,2021,10,24.67,18.36,28.64,3.0024,81.79,25.88,8.39,101.35
09007010,連江縣,南竿鄉,2021,11,19.42,13.39,23.8,2.4398,78.37,20.73,7.03,101.66
09007010,連江縣,南竿鄉,2021,12,15.32,8.98,20.04,2.5135,77.83,17.21,8.21,102.17
09007010,連江縣,南竿鄉,2022,1,13.01,8.95,16.02,1.9356,83.99,14.13,7.59,101.95
09007010,連江縣,南竿鄉,2022,2,11.57,7.23,16.09,2.1154,84.53,13.19,8.65,102.05
09007010,連江縣,南竿鄉,2022,3,15.08,10.37,21.27,3.4219,89.19,14.78,5.35,101.35
09007010,連江縣,南竿鄉,2022,4,18.08,11.72,24.41,4.5497,86.01,18.14,5.36,101.31
09007010,連江縣,南竿鄉,2022,5,20.58,16.2,25.27,3.2959,90.04,20.87,5.27,100.93
09007010,連江縣,南竿鄉,2022,6,25.19,21.74,28.7,3.7742,93.74,24.62,5.1,100.43
09007010,連江縣,南竿鄉,2022,7,27.88,26.26,30.41,6.2662,89.8,27.35,4.83,100.34
09007010,連江縣,南竿鄉,2022,8,28.59,27.29,30.46,6.233,86.49,28.44,3.67,100.51
09007010,連江縣,南竿鄉,2022,9,27.09,24.78,30.74,5.2022,78.58,27.47,6.4,100.63
09007010,連江縣,南竿鄉,2022,10,23.07,19.03,28.31,3.8558,79.26,24.17,9.44,101.49
09007010,連江縣,南竿鄉,2022,11,20.44,13.51,24.08,1.9356,87.38,20.81,6.72,101.49
09007010,連江縣,南竿鄉,2022,12,14.07,7.65,18.46,2.2226,77.99,16.55,9.17,102.07
09007010,連江縣,南竿鄉,2023,1,12.21,6.1,19.1,2.5418,80.12,13.41,7.33,102.09
09007010,連江縣,南竿鄉,2023,2,11.83,8.18,17.41,3.1154,85.1,12.28,7.46,102.02
09007010,連江縣,南竿鄉,2023,3,14.31,10.03,20.43,3.7682,86.38,14.32,5.66,101.66
09007010,連江縣,南竿鄉,2023,4,17.86,14.5,22.24,3.6974,88.1,17.46,4.58,101.1
09007010,連江縣,南竿鄉,2023,5,22.25,17.93,26.95,4.5182,86.61,21.96,4.85,100.84
09007010,連江縣,南竿鄉,2023,6,26.95,23.81,30.07,4.872,88.53,26.68,4.05,100.46
09007010,連江縣,南竿鄉,2023,7,28.05,26.54,29.99,5.4031,89.36,27.57,5.47,100.39
09007010,連江縣,南竿鄉,2023,8,28.32,26.69,32.44,4.933,87.96,28.13,4.29,100.12
09007010,連江縣,南竿鄉,2023,9,27.87,26.42,29.88,4.4148,85.45,28.1,5.62,100.7
09007010,連江縣,南竿鄉,2023,10,24.15,20.67,28.23,3.0811,80.58,25.1,7.54,101.37
09007010,連江縣,南竿鄉,2023,11,20.43,15.45,25.69,3.3562,78.43,21.89,6.81,101.81
09007010,連江縣,南竿鄉,2023,12,15.23,5.82,22.08,2.5903,79.42,17.71,7.13,102.1
09007010,連江縣,南竿鄉,2024,1,12.59,3.94,16.96,2.8906,79.81,14.21,6.68,102.16
09007010,連江縣,南竿鄉,2024,2,12.53,8.96,19.55,2.7914,85.24,13.48,5.86,101.99
09007010,連江縣,南竿鄉,2024,3,14.3,8.78,21.79,3.4642,85.47,14.08,5.46,101.6
09007010,連江縣,南竿鄉,2024,4,19.55,15.07,24.59,3.0326,92.93,18.95,4.47,100.9
09007010,連江縣,南竿鄉,2024,5,21.5,18.09,25.47,4.4038,87.87,21.5,4.91,100.96
09007010,連江縣,南竿鄉,2024,6,25.5,20.79,28.82,3.7368,91.98,25.08,5.41,100.56
09007010,連江縣,南竿鄉,2024,7,28.49,26.71,30.65,6.1003,89.62,28.0,6.14,100.33
09007010,連江縣,南竿鄉,2024,8,28.41,26.63,30.32,5.4523,86.48,28.49,4.04,100.35
09007010,連江縣,南竿鄉,2024,9,28.0,24.89,30.23,4.2617,87.66,28.27,5.45,100.47
09007010,連江縣,南竿鄉,2024,10,23.94,19.92,28.08,3.0713,85.17,24.97,9.25,101.15
09007010,連江縣,南竿鄉,2024,11,20.26,14.41,25.91,2.8445,79.97,21.36,8.24,101.65
09007010,連江縣,南竿鄉,2024,12,14.65,9.63,20.43,2.6366,76.35,16.83,8.14,102.07
09007010,連江縣,南竿鄉,2025,1,12.47,8.06,15.81,3.7049,75.42,13.44,6.85,102.07
09007010,連江縣,南竿鄉,2025,2,11.65,6.18,15.77,2.4578,81.77,12.93,7.44,102.13
09007010,連江縣,南竿鄉,2025,3,13.89,9.76,20.85,3.918,84.47,14.04,6.0,101.61
09007010,連江縣,南竿鄉,2025,4,18.74,11.56,24.32,4.3771,86.24,18.55,4.65,101.09
09007010,連江縣,南竿鄉,2025,5,23.21,19.51,27.52,4.2715,87.67,23.15,4.34,100.83
09007010,連江縣,南竿鄉,2025,6,26.52,22.46,29.04,5.4305,90.79,26.2,5.04,100.47
09007010,連江縣,南竿鄉,2025,7,28.1,26.28,30.67,4.5739,90.8,27.9,5.53,99.9
09007010,連江縣,南竿鄉,2025,8,28.22,27.0,29.72,5.7864,88.81,27.97,5.42,100.57
09007010,連江縣,南竿鄉,2025,9,28.31,26.43,30.43,4.8588,87.04,28.37,4.59,100.79
09007010,連江縣,南竿鄉,2025,10,25.86,20.22,29.55,3.8362,82.75,27.09,7.06,101.29
09007010,連江縣,南竿鄉,2025,11,19.27,13.22,23.45,3.0655,78.74,20.68,8.49,101.72
09007010,連江縣,南竿鄉,2025,12,15.88,10.71,20.02,,79.41,17.19,7.5,101.85
09007020,連江縣,北竿鄉,2013,1,11.64,7.17,16.66,2.3105,83.18,12.79,7.49,102.1
09007020,連江縣,北竿鄉,2013,2,12.45,7.06,17.75,2.0546,88.78,13.27,6.99,101.89
09007020,連江縣,北竿鄉,2013,3,14.09,7.3,20.21,3.7836,85.92,14.32,5.8,101.53
09007020,連江縣,北竿鄉,2013,4,17.31,13.62,22.1,3.707,86.1,17.31,5.15,101.14
09007020,連江縣,北竿鄉,2013,5,22.03,16.09,26.4,3.8186,92.83,21.5,4.63,100.7
09007020,連江縣,北竿鄉,2013,6,25.59,22.48,28.21,4.3702,92.52,25.39,5.28,100.37
09007020,連江縣,北竿鄉,2013,7,27.26,25.76,29.16,6.2246,89.0,26.85,5.06,100.5
09007020,連江縣,北竿鄉,2013,8,27.63,24.8,29.88,5.3803,89.31,27.4,4.68,100.29
09007020,連江縣,北竿鄉,2013,9,26.51,23.68,28.26,4.6406,81.8,26.67,7.07,100.82
09007020,連江縣,北竿鄉,2013,10,23.1,17.67,27.21,4.5833,76.81,24.0,8.16,101.3
09007020,連江縣,北竿鄉,2013,11,19.01,12.2,23.43,2.8639,78.64,20.1,7.29,101.77
09007020,連江縣,北竿鄉,2013,12,13.98,7.69,20.2,2.5366,74.4,16.17,7.82,101.96
09007020,連江縣,北竿鄉,2014,1,12.14,7.77,16.75,3.3161,80.42,12.86,6.47,102.12
09007020,連江縣,北竿鄉,2014,2,11.48,5.64,16.71,2.5469,86.82,12.82,6.76,101.79
09007020,連江縣,北竿鄉,2014,3,13.75,9.57,20.01,3.1399,86.47,13.67,6.03,101.68
09007020,連江縣,北竿鄉,2014,4,17.58,13.74,21.78,3.6766,89.28,17.58,4.85,101.25
09007020,連江縣,北竿鄉,2014,5,21.66,16.33,25.82,3.4634,92.01,21.51,4.41,100.81
09007020,連江縣,北竿鄉,2014,6,25.28,23.0,28.05,4.5118,92.67,25.08,5.27,100.24
09007020,連江縣,北竿鄉,2014,7,28.21,26.88,30.25,5.9774,89.96,27.88,5.37,100.27
09007020,連江縣,北竿鄉,2014,8,28.33,26.77,31.03,5.2361,87.63,28.33,4.18,100.39
09007020,連江縣,北竿鄉,2014,9,27.81,24.0,30.29,4.4268,84.51,28.09,5.23,100.66
09007020,連江縣,北竿鄉,2014,10,23.14,20.98,26.44,4.277,78.46,23.88,7.0,101.39
09007020,連江縣,北竿鄉,2014,11,19.61,15.88,23.88,2.3868,82.9,20.49,6.96,101.67
09007020,連江縣,北竿鄉,2014,12,14.14,9.32,17.74,2.6878,73.31,16.48,8.12,102.22
09007020,連江縣,北竿鄉,2015,1,12.5,8.3,16.56,2.8469,78.91,13.66,7.02,102.15
09007020,連江縣,北竿鄉,2015,2,12.14,7.33,16.15,2.7953,84.31,12.83,5.98,101.92
09007020,連江縣,北竿鄉,2015,3,13.84,9.62,19.8,2.8711,87.87,14.38,5.89,101.77
09007020,連江縣,北竿鄉,2015,4,17.95,11.8,23.18,4.1808,87.01,18.0,5.61,101.28
09007020,連江縣,北竿鄉,2015,5,22.09,18.06,25.95,3.6514,90.37,21.99,5.13,100.69
09007020,連江縣,北竿鄉,2015,6,26.09,22.06,28.32,4.9908,92.67,25.63,5.47,100.44
09007020,連江縣,北竿鄉,2015,7,26.77,24.35,29.06,4.4755,90.84,26.42,6.24,100.19
09007020,連江縣,北竿鄉,2015,8,26.95,24.47,28.65,4.5574,89.35,26.95,5.85,100.31
09007020,連江縣,北竿鄉,2015,9,25.98,24.08,28.71,3.4099,83.4,26.52,6.07,100.83
09007020,連江縣,北竿鄉,2015,10,23.46,19.72,27.54,3.2088,82.26,23.97,7.1,101.39
09007020,連江縣,北竿鄉,2015,11,20.4,13.12,24.64,2.2639,86.74,21.35,6.62,101.72
09007020,連江縣,北竿鄉,2015,12,15.15,9.1,20.01,1.6644,82.18,16.72,7.96,102.1
09007020,連江縣,北竿鄉,2016,1,12.08,3.2,16.95,1.6968,84.37,13.67,6.89,102.1
09007020,連江縣,北竿鄉,2016,2,11.48,5.75,17.71,2.9172,80.31,12.52,6.98,102.23
09007020,連江縣,北竿鄉,2016,3,13.21,6.77,17.45,3.2638,84.32,13.8,5.63,101.75
09007020,連江縣,北竿鄉,2016,4,17.62,13.88,22.62,3.0734,93.17,17.14,4.39,101.03
09007020,連江縣,北竿鄉,2016,5,22.62,18.49,27.04,4.1554,91.84,22.36,4.56,100.81
09007020,連江縣,北竿鄉,2016,6,26.67,23.51,29.21,4.4398,92.23,26.32,4.86,100.48
09007020,連江縣,北竿鄉,2016,7,27.88,26.36,29.64,5.7646,91.21,27.45,5.54,100.4
09007020,連江縣,北竿鄉,2016,8,28.67,25.36,30.6,5.1067,83.43,28.75,4.14,100.17
09007020,連江縣,北竿鄉,2016,9,26.92,24.95,29.62,3.833,85.18,27.3,6.66,100.54
09007020,連江縣,北竿鄉,2016,10,24.57,20.27,27.4,2.664,88.58,24.96,7.4,101.08
09007020,連江縣,北竿鄉,2016,11,20.03,13.43,23.66,2.2152,84.3,21.46,7.1,101.7
09007020,連江縣,北竿鄉,2016,12,16.19,9.91,19.65,2.5231,82.11,17.45,7.86,101.99
09007020,連江縣,北竿鄉,2017,1,13.61,9.96,17.84,2.3074,83.75,14.69,7.4,102.06
09007020,連江縣,北竿鄉,2017,2,12.23,7.24,17.22,3.3564,81.55,13.41,7.15,102.1
09007020,連江縣,北竿鄉,2017,3,13.61,9.94,16.59,2.7684,85.06,14.09,5.69,101.64
09007020,連江縣,北竿鄉,2017,4,18.56,11.27,22.73,4.4035,84.16,18.19,4.61,101.16
09007020,連江縣,北竿鄉,2017,5,22.45,19.23,25.92,4.3447,88.26,22.28,4.45,100.9
09007020,連江縣,北竿鄉,2017,6,25.46,22.51,28.16,3.5498,92.63,25.39,5.63,100.45
09007020,連江縣,北竿鄉,2017,7,28.07,25.93,29.83,6.2705,89.14,27.75,4.43,100.5
09007020,連江縣,北竿鄉,2017,8,28.1,26.94,29.55,5.7991,90.68,27.78,5.12,100.39
09007020,連江縣,北竿鄉,2017,9,27.78,25.51,31.1,4.8852,84.2,28.01,4.77,100.73
09007020,連江縣,北竿鄉,2017,10,23.98,17.97,29.31,3.761,80.28,25.02,8.92,101.3
09007020,連江縣,北竿鄉,2017,11,19.09,14.36,22.73,2.1931,84.04,20.31,8.18,101.7
09007020,連江縣,北竿鄉,2017,12,14.3,8.77,17.84,2.5171,76.76,15.9,8.87,102.14
09007020,連江縣,北竿鄉,2018,1,12.21,6.24,16.73,2.0352,83.92,13.58,7.66,101.91
09007020,連江縣,北竿鄉,2018,2,10.88,6.53,17.53,2.8771,81.61,12.05,7.01,101.99
09007020,連江縣,北竿鄉,2018,3,14.48,9.85,19.93,4.1227,87.27,14.36,5.24,101.56
09007020,連江縣,北竿鄉,2018,4,19.08,14.43,23.0,4.2312,85.37,18.83,4.15,101.26
09007020,連江縣,北竿鄉,2018,5,24.02,18.61,27.45,4.909,88.55,23.88,4.84,100.81
09007020,連江縣,北竿鄉,2018,6,25.64,22.25,28.73,4.6279,89.07,25.75,5.55,100.35
09007020,連江縣,北竿鄉,2018,7,27.68,26.21,30.03,5.4391,89.99,27.46,5.12,100.17
09007020,連江縣,北竿鄉,2018,8,28.39,26.18,30.24,5.0302,86.39,28.54,4.44,100.0
09007020,連江縣,北竿鄉,2018,9,26.7,23.76,28.86,4.6891,85.81,26.99,6.36,100.74
09007020,連江縣,北竿鄉,2018,10,22.48,19.52,27.04,3.611,76.55,23.58,7.28,101.47
09007020,連江縣,北竿鄉,2018,11,19.69,16.5,23.78,2.0256,85.58,20.58,6.98,101.7
09007020,連江縣,北竿鄉,2018,12,15.39,7.98,21.43,1.968,85.33,17.34,8.21,102.06
09007020,連江縣,北竿鄉,2019,1,13.03,9.32,18.85,2.2817,83.29,14.1,7.46,102.18
09007020,連江縣,北竿鄉,2019,2,12.9,9.55,19.04,1.801,87.98,14.37,6.54,101.9
09007020,連江縣,北竿鄉,2019,3,14.41,10.47,19.69,3.0338,88.22,14.52,5.69,101.52
09007020,連江縣,北竿鄉,2019,4,18.18,12.35,23.43,3.3461,91.03,17.84,4.8,101.08
09007020,連江縣,北竿鄉,2019,5,21.2,17.6,24.62,3.8472,87.3,21.06,4.84,100.85
09007020,連江縣,北竿鄉,2019,6,25.26,22.03,28.25,3.8827,92.1,25.14,4.66,100.33
09007020,連江縣,北竿鄉,2019,7,27.61,26.3,29.15,4.7297,92.78,27.12,5.61,100.2
09007020,連江縣,北竿鄉,2019,8,28.32,26.47,31.65,5.1458,89.01,28.13,5.6,100.07
09007020,連江縣,北竿鄉,2019,9,26.91,23.44,29.68,5.3254,80.19,27.41,6.76,100.79
09007020,連江縣,北竿鄉,2019,10,23.68,20.29,28.88,3.8182,79.57,24.56,6.91,101.39
09007020,連江縣,北竿鄉,2019,11,19.53,13.87,22.43,3.365,79.51,20.72,8.23,101.72
09007020,連江縣,北竿鄉,2019,12,15.15,11.38,19.94,2.6544,82.27,16.58,7.48,102.04
09007020,連江縣,北竿鄉,2020,1,13.67,9.9,19.1,2.502,82.52,14.87,6.32,101.93
09007020,連江縣,北竿鄉,2020,2,13.26,8.08,18.76,3.1541,84.49,13.95,6.15,102.11
09007020,連江縣,北竿鄉,2020,3,15.34,11.33,21.19,2.7034,87.66,15.77,5.56,101.51
09007020,連江縣,北竿鄉,2020,4,17.19,12.84,22.05,4.5036,82.25,17.41,5.64,101.58
09007020,連江縣,北竿鄉,2020,5,23.05,19.85,26.57,4.129,91.57,22.72,4.68,100.66
09007020,連江縣,北竿鄉,2020,6,26.66,23.58,28.88,5.1878,92.46,25.98,6.01,100.42
09007020,連江縣,北竿鄉,2020,7,27.65,26.55,29.62,5.4806,91.56,27.11,5.33,100.42
09007020,連江縣,北竿鄉,2020,8,28.15,26.84,30.33,5.3311,89.34,28.03,4.68,100.43
09007020,連江縣,北竿鄉,2020,9,26.42,22.7,30.18,3.6264,81.03,27.34,5.29,100.79
09007020,連江縣,北竿鄉,2020,10,22.64,19.44,26.57,3.8042,78.75,23.5,8.95,101.43
09007020,連江縣,北竿鄉,2020,11,20.03,15.51,23.72,2.9138,82.94,20.62,8.55,101.83
09007020,連江縣,北竿鄉,2020,12,14.34,4.5,17.88,1.8626,82.39,16.67,9.41,102.07
09007020,連江縣,北竿鄉,2021,1,11.68,5.15,16.9,3.1879,78.86,13.09,7.17,102.09
09007020,連江縣,北竿鄉,2021,2,13.88,10.97,17.5,3.3871,85.44,13.88,6.19,101.71
09007020,連江縣,北竿鄉,2021,3,14.82,11.77,20.52,3.3641,88.58,15.02,5.53,101.54
09007020,連江縣,北竿鄉,2021,4,17.97,15.04,22.32,3.93,86.73,17.92,6.0,101.33
