feature,pearson_abs,anova_f,mutual_info
education_less_than_high_school,0.04729043413408894,81.92050553905271,0.012697356217146627
cooperate_tax,0.017607505249441963,77.48953192778481,0.0014117440671452819
age_45_54_rate,0.03446075302607958,77.01765595359241,0.00640925370172285
education_high_school_graduate,0.05865737249550211,74.00151188577198,0.005050046507797834
poverty_family_below_poverty_level,0.015406886405380805,73.78992142631687,0.003687433661657913
age_25_34_rate,0.0555221636073611,71.72777256633312,0.013078717975905985
age_more_than_85_rate,0.0036481391793848125,70.50838289689365,0.008681385004885911
transportation_carpool_rate,0.003598995538035769,69.32207801458641,0.009544152468467626
heating_fuel_electricity_rate,0.03431439382715348,60.76199129831231,0.01904866695172469
occupation_education_rate,0.021175843388097967,53.42413575678937,0.004835356569687477
electricity_consume_commercial,0.03359534893167656,49.4085331132361,0.22676419791510827
age_18_24_rate,0.02588765799719851,42.89465244557187,0.008271763654209341
electricity_consume_total,0.04500208090339942,37.53243015362077,0.22745973970080358
wind_speed,0.0005915855769041695,24.82301449261936,0.03788652869599862
occupation_public_rate,0.057641183372713505,24.616000553128377,0.004893554331709016
occupation_retail_rate,0.01832598641473012,18.619834000895853,0.00530720110310412
heating_fuel_gas_rate,0.056632177095482704,18.48928119786358,0.016170534157049943
education_college_rate,0.07325343603522536,13.254815593667873,0.0036205922138297097
age_15_17_rate,0.04303623571510212,11.85384396175305,0.007363956950798389
age_75_84_rate,0.00868068968372674,10.063355960291345,0.013003991025162254
age_5_9_rate,0.027218246922864297,5.8467377896417485,0.0027694997763467732
age_10_14_rate,0.05043641525792019,2.91530467197577,0.003397778306205357
